CTT,CGGH,CGGHH,mhh,sigma
-1.5,-0.4,0.2666,0.015,0.0773452743887901
0.5,1.0,0.0,0.385,0.0020212824456393
0.0,0.5333,0.0666,0.5650000000000001,0.000225578143727
-1.0,-0.4,0.0,0.445,0.0103725995868444
-1.0,0.5333,0.3333,0.5650000000000001,0.0042991116642951
-1.5,0.0,0.0666,0.135,0.293711394071579
-3.0,0.8,1.0,0.035,0.1837706118822097
0.5,0.0,0.0,0.625,0.0003522562328726
-3.0,0.1333,0.3333,0.165,0.7041465044021606
0.5,-0.6,-1.0,0.665,0.0088865421712398
-1.0,-1.0,-0.8,0.405,0.0288208052515983
0.0,-0.5333,-0.2,0.305,0.002453054767102
0.0,0.6666,0.2666,0.125,0.0066850706934928
0.5,0.2666,0.0666,0.525,0.0006942966720089
0.5,0.8,-1.0,0.575,0.0123679097741842
-1.0,0.2,-0.8,0.605,0.0083841132000088
0.0,-0.5333,0.2666,0.155,0.0071340566501021
0.5,0.8,-1.0,0.095,0.0374260023236274
-3.0,0.2666,0.0,0.495,0.0449769459664821
-1.0,0.2,-1.0,0.505,0.0216268934309482
0.0,0.1333,0.3333,0.355,0.004334376193583
0.5,0.2666,-0.2,0.095,0.000623837171588
-1.5,0.2666,0.3333,0.365,0.0281532648950815
0.5,0.0,0.2666,0.645,0.0011710787657648
0.5,0.6666,0.2666,0.715,0.000759549322538
-3.0,-0.4,0.0,0.385,0.1156298220157623
-1.0,0.5333,-0.2,0.035,0.0860008150339126
0.5,0.0,-0.2,0.545,0.0008875735220499
-3.0,-1.0,0.0,0.275,0.3763608932495117
-1.0,0.0,-0.2,0.6950000000000001,0.0023420867510139
-1.5,1.0,-0.2,0.08499999999999999,0.421305388212204
-1.0,-0.6,1.0,0.265,0.0569910258054733
-1.0,0.6666,0.2666,0.645,0.0032171164639294
-1.5,0.0,1.0,0.615,0.0127980234101414
-1.0,0.8,-0.8,0.495,0.0195144265890121
0.5,-0.4,0.0666,0.275,0.0038045858964324
-3.0,0.6666,0.2666,0.335,0.1564702987670898
-1.5,-0.5333,0.0,0.195,0.1755066812038421
-1.5,0.2666,0.2666,0.41500000000000004,0.0250601954758167
-1.0,0.5333,0.2666,0.6950000000000001,0.0021900874562561
0.5,0.5333,-0.2,0.7050000000000001,0.0003899541916325
0.5,-0.5333,0.0,0.135,0.0028667375445365
-1.5,-0.8,1.0,0.035,0.0522475689649581
0.0,0.2666,0.2666,0.11499999999999999,0.0073089757934212
0.5,1.0,-1.0,0.675,0.0079561807215213
-1.5,-0.5333,-0.2,0.7050000000000001,0.0033130736555904
0.0,0.6666,0.0,0.685,3.1426301575265825e-05
0.5,0.6666,0.3333,0.685,0.0014958273386582
-1.5,-1.0,-0.8,0.745,0.0088651720434427
-1.5,-0.4,0.0,0.725,0.0020990900229662
-3.0,-0.8,0.6,0.305,0.214568093419075
0.0,0.2666,-0.2,0.015,0.0011918742675334
-1.0,-0.4,0.0,0.175,0.1224340051412582
-1.5,0.8,0.6,0.025,0.0159755572676658
0.0,0.5333,0.3333,0.275,0.0063928603194653
0.0,0.6666,0.0,0.335,0.0008309868862852
-1.5,-1.0,-0.8,0.275,0.1847142726182937
0.5,0.2666,0.0666,0.11499999999999999,0.008843757212162
-3.0,0.0,-0.2,0.225,0.5618371367454529
-1.0,0.2,-1.0,0.7050000000000001,0.0087504666298627
-1.5,0.0,-0.2,0.295,0.0887536108493805
-3.0,0.8,-0.8,0.455,0.0897709727287292
-3.0,-0.8,-1.0,0.585,0.0417050682008266
0.5,0.0,0.3333,0.475,0.0037063974887132
0.0,0.0,0.3333,0.155,0.0088727977126836
0.0,0.0,0.0666,0.28500000000000003,0.0019258568063378
-3.0,-1.0,0.0,0.235,0.5154387354850769
-3.0,0.2666,0.3333,0.395,0.0955819338560104
0.0,-0.4,0.2666,0.20500000000000002,0.0061636269092559
-1.5,-0.4,0.0,0.015,0.1154357716441154
-1.5,0.2666,0.3333,0.14500000000000002,0.2193222790956496
-3.0,-1.0,-0.2,0.005,0.0920204445719719
0.5,1.0,-0.2,0.10500000000000001,0.0035644292365759
0.5,-0.8,1.0,0.785,0.0053251590579748
-3.0,0.5333,0.0666,0.305,0.2118502706289291
-1.5,0.6666,0.0666,0.365,0.0279591605067253
0.0,0.1333,0.0666,0.185,0.0054151816293597
0.0,-0.4,-0.2,0.505,0.000474145199405
0.5,0.0,-0.8,0.795,0.004578857216984
-1.0,0.2666,0.0,0.625,0.0027874396182596
-1.0,0.0,-0.2,0.575,0.0040289261378347
0.0,-0.5333,0.0,0.505,0.0001144920679507
-1.0,-0.8,-1.0,0.585,0.017254440113902
-3.0,-1.0,1.0,0.335,0.166635051369667
-1.0,0.2666,0.0666,0.41500000000000004,0.0110407192260026
-1.0,1.0,0.0,0.11499999999999999,0.1951141655445099
0.5,0.8,-1.0,0.495,0.0134765412658453
0.5,0.2,0.6,0.28500000000000003,0.0277127586305141
-1.5,-0.6,0.6,0.535,0.0144419409334659
-1.0,0.6666,0.3333,0.545,0.0054381950758397
-3.0,0.0,-0.2,0.195,0.8036178350448608
-1.0,0.8,0.6,0.555,0.0095067806541919
0.5,1.0,-1.0,0.065,0.0302768405526876
-3.0,0.0,0.0,0.275,0.3031952679157257
-3.0,-0.8,-1.0,0.675,0.0181458406150341
-3.0,0.1333,0.0,0.425,0.0889147222042083
-1.0,0.0,0.3333,0.045,0.0546242222189903
-1.0,0.6666,0.2666,0.015,0.0058371187187731
-1.0,-0.8,-0.8,0.665,0.0056945844553411
-3.0,-1.0,0.0,0.775,0.0072627929039299
-1.5,-0.6,0.0,0.465,0.0220702476799488
0.0,-0.4,0.0666,0.235,0.0028095226734876
0.5,0.0,-0.8,0.125,0.0242864955216646
0.0,0.5333,0.2666,0.7050000000000001,0.0006607215036638
-3.0,-0.6,-1.0,0.365,0.2433812618255615
-1.5,-0.8,-0.2,0.195,0.2429810762405395
0.5,0.0,-1.0,0.315,0.0272847190499305
0.5,0.2666,0.3333,0.755,0.0009023115271702
-3.0,0.2666,0.0,0.295,0.262299120426178
-3.0,0.2,-1.0,0.225,0.7014122009277344
0.5,0.2666,0.3333,0.195,0.0231902357190847
-3.0,0.6666,0.0666,0.215,0.5097171068191528
0.0,0.2666,-0.2,0.425,0.0008170844521373
-3.0,0.0,0.0666,0.475,0.0501865372061729
-3.0,-0.6,-1.0,0.245,0.6810264587402344
-3.0,-1.0,0.6,0.10500000000000001,1.154795527458191
-1.0,-0.5333,-0.2,0.505,0.0065445778891444
-1.5,0.1333,0.0,0.135,0.3071032762527466
-1.5,-0.8,0.6,0.725,0.0074571589939296
0.5,0.2,0.6,0.255,0.0341157875955104
0.5,0.1333,0.2666,0.155,0.0191974192857742
-1.0,-0.5333,0.2666,0.585,0.0049951486289501
-3.0,0.0,-1.0,0.275,0.4958767294883728
-1.5,-1.0,-0.2,0.015,0.223859816789627
0.5,1.0,-1.0,0.015,0.0039486847817897
-1.5,-1.0,-0.8,0.015,0.4117758274078369
-3.0,0.2,-0.8,0.685,0.0234146025031805
0.5,-1.0,1.0,0.455,0.0212077721953392
0.5,-0.5333,0.0666,0.355,0.0021920623257756
-1.5,0.0,-0.2,0.515,0.0121699161827564
-1.5,0.2666,-0.2,0.445,0.0156359151005744
-3.0,1.0,1.0,0.755,0.0136646842584013
0.5,0.1333,0.2666,0.685,0.0007423334755003
-3.0,-0.4,0.0666,0.185,0.7175987362861633
-3.0,-0.4,0.0666,0.665,0.0168782696127891
-3.0,1.0,0.6,0.235,0.4512954354286194
0.5,-0.6,-0.2,0.325,0.0015663796802982
0.5,-0.4,0.3333,0.235,0.0142666501924395
-1.0,0.2666,0.0666,0.185,0.1018236652016639
0.5,-0.8,0.6,0.5650000000000001,0.0056709554046392
0.5,1.0,0.0,0.165,0.0103322705253958
0.5,-0.8,0.0,0.745,0.0001435669546481
-1.5,-1.0,0.0,0.07500000000000001,0.4458407759666443
-3.0,-0.6,0.6,0.435,0.0803122073411941
0.5,0.1333,0.3333,0.465,0.0033663178328424
0.5,0.2666,0.0,0.515,0.0007055468740873
-1.5,0.6666,0.0666,0.525,0.0086526917293667
-1.0,0.8,-0.8,0.135,0.3531218469142914
-1.0,-0.5333,-0.2,0.6950000000000001,0.0004662340215872
-3.0,1.0,-0.2,0.10500000000000001,1.422659397125244
-1.5,0.0,-1.0,0.295,0.1553025841712951
0.5,-1.0,-0.8,0.635,0.0066350540146231
-1.0,0.6666,0.2666,0.325,0.0210820771753788
-3.0,0.0,-1.0,0.725,0.0154779553413391
0.0,0.5333,0.3333,0.455,0.002976143034175
-3.0,-0.4,0.3333,0.41500000000000004,0.0737345740199089
-1.5,0.6666,0.0666,0.34500000000000003,0.0365964099764823
-1.0,0.1333,-0.2,0.735,0.0006213636370375
0.5,-1.0,-1.0,0.14500000000000002,0.0507849156856536
-1.5,-0.8,-0.8,0.225,0.280295729637146
0.5,0.6666,0.3333,0.155,0.0288211815059185
-1.5,0.5333,0.3333,0.535,0.011196075938642
-1.0,0.0,0.0,0.365,0.0191480629146099
-1.5,0.0,-0.2,0.165,0.2931224703788757
-3.0,0.5333,0.2666,0.645,0.0096414675936102
-1.5,0.6666,0.2666,0.265,0.087937943637371
0.0,-0.4,0.0,0.625,2.67277064267546e-05
-1.5,-1.0,-0.2,0.175,0.3225513398647308
-3.0,0.0,0.3333,0.34500000000000003,0.1488535702228546
0.5,0.8,0.6,0.465,0.0118892081081867
-3.0,-0.8,0.6,0.07500000000000001,0.959672749042511
0.5,-0.8,1.0,0.41500000000000004,0.0287768375128507
-1.0,0.2,-0.8,0.035,0.2712640762329101
-3.0,0.2,-0.2,0.795,0.0120598468929529
0.0,0.0,0.3333,0.235,0.0070725507102906
0.5,-1.0,-0.8,0.28500000000000003,0.0179732348769903
-1.5,0.1333,0.0,0.10500000000000001,0.3849434554576874
-1.5,0.1333,0.3333,0.055,0.135706678032875
0.0,-0.5333,-0.2,0.215,0.0069805346429347
-1.0,-1.0,-1.0,0.07500000000000001,0.665001630783081
0.0,0.1333,0.0666,0.255,0.0023465063422918
-3.0,0.2,-0.8,0.595,0.0312270671129226
-3.0,0.2,-0.8,0.505,0.0624237060546875
0.5,-0.4,0.0,0.7050000000000001,0.0002341782237635
0.5,0.6666,0.3333,0.275,0.0138824768364429
-1.0,0.8,0.6,0.525,0.0117319617420434
-1.0,0.6666,0.0666,0.785,0.0011018636869266
-3.0,0.2666,0.3333,0.34500000000000003,0.1429109126329422
-1.5,0.0,0.2666,0.125,0.2923246622085571
0.5,0.8,-0.2,0.065,0.0044763917103409
-3.0,0.8,-1.0,0.525,0.0651799142360687
-1.0,0.2666,0.0,0.665,0.0022950426209717
-3.0,-0.8,-1.0,0.265,0.6052889227867126
-1.5,0.8,1.0,0.005,0.0005784741370007
0.5,0.0,-0.2,0.055,0.0002230918325949
-3.0,0.2666,0.0666,0.41500000000000004,0.0963305681943893
-1.0,0.8,-1.0,0.455,0.0283627081662416
-3.0,-0.4,0.2666,0.225,0.4023102223873137
-1.5,-0.8,1.0,0.495,0.0303624663501977
-3.0,-0.4,0.0666,0.6950000000000001,0.0146162146702408
0.0,-0.4,0.2666,0.395,0.0020986262243241
-1.5,0.8,-0.8,0.355,0.0718105882406234
0.5,-0.8,0.6,0.6950000000000001,0.0028073885478079
0.0,-0.4,0.2666,0.355,0.0027779371012002
-1.5,-0.5333,0.0,0.445,0.0185344591736793
-3.0,0.0,0.0,0.635,0.0224698856472969
-3.0,0.5333,0.2666,0.355,0.1228299736976623
-1.5,-0.5333,-0.2,0.165,0.2882656455039978
-1.0,0.1333,0.0,0.095,0.1854072213172913
0.0,-0.4,0.2666,0.045,0.00047246721806
-1.5,0.2,-1.0,0.595,0.0179516207426786
-1.0,-0.6,-1.0,0.065,0.5855401158332825
-1.5,0.0,-0.8,0.055,0.5755574107170105
